"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",0.105751508963558,-0.0554084190657523,0.266911436992869,0.280437856692256,"Afternoon - Bic - 0"
"Ped","Afternoon","0",0.135695543726622,0.0845783451969898,0.186812742256255,1.26297828537629e-05,"Afternoon - Ped - 0"
"Bic","Afternoon","1",1.06724017588396,0.190945991793973,1.94353435997394,0.0451483127942276,"Afternoon - Bic - 1"
"Ped","Afternoon","1",1.09718421064702,0.224450604095092,1.96991781719895,0.0386514100494562,"Afternoon - Ped - 1"
"Bic","Midday","0",0.0419920333916313,-0.120047317950364,0.204031384733627,0.669919055477926,"Midday - Bic - 0"
"Ped","Midday","0",0.0719360681546955,0.0145467605201492,0.129325375789242,0.0392283940534609,"Midday - Ped - 0"
"Bic","Midday","1",1.00348070031203,0.126985526929065,1.87997587369499,0.0596789633459089,"Midday - Bic - 1"
"Ped","Midday","1",1.03342473507509,0.160262335768313,1.90658713438187,0.0515642300807353,"Midday - Ped - 1"
"Bic","Morning","0",0.105585377686438,-0.0436389488813508,0.254809704254227,0.244490892483826,"Morning - Bic - 0"
"Ped","Morning","0",0.135529412449502,0.0621808574967035,0.208877967402301,0.00237152390444399,"Morning - Ped - 0"
"Bic","Morning","1",1.06707404460684,0.192864825831338,1.94128326338233,0.0446714390071713,"Morning - Bic - 1"
"Ped","Morning","1",1.0970180793699,0.222669250573165,1.97136690816664,0.0390417762831893,"Morning - Ped - 1"
