"TrafficType","TimeOfDay","Holiday","estimate","asymp.LCL","asymp.UCL","p.value","TimeTraffic"
"Bic","Afternoon","0",-0.188639655223526,-0.318566890786727,-0.0587124196603245,0.0169338212857115,"Afternoon - Bic - 0"
"Ped","Afternoon","0",-0.0875577213787678,-0.217955343126181,0.0428399003686454,0.269391390684851,"Afternoon - Ped - 0"
"Bic","Afternoon","1",-0.443427590199855,-0.75993962961696,-0.126915550782751,0.0211996442765,"Afternoon - Bic - 1"
"Ped","Afternoon","1",-0.342345656355097,-0.658810249467502,-0.0258810632426927,0.0751786599859215,"Afternoon - Ped - 1"
"Bic","Midday","0",-0.0153566282869755,-0.141350544473468,0.110637287899517,0.841104295595342,"Midday - Bic - 0"
"Ped","Midday","0",0.0857253055577824,-0.0486471388618013,0.220097749977366,0.294010709484661,"Midday - Ped - 0"
"Bic","Midday","1",-0.270144563263305,-0.58463404124605,0.0443449147194401,0.157679442775224,"Midday - Bic - 1"
"Ped","Midday","1",-0.169062629418547,-0.486761595496003,0.148636336658908,0.381408341262623,"Midday - Ped - 1"
"Bic","Morning","0",0.0115069018496312,-0.0901752983788334,0.113189102078096,0.852334631432405,"Morning - Bic - 0"
"Ped","Morning","0",0.112588835694389,0.000557758386012561,0.224619913002766,0.0983221731983254,"Morning - Ped - 0"
"Bic","Morning","1",-0.243281033126698,-0.548077994754383,0.0615159285009866,0.189223547805856,"Morning - Bic - 1"
"Ped","Morning","1",-0.142199099281941,-0.450355544352592,0.165957345788711,0.447840982562522,"Morning - Ped - 1"
