"","2.5 %","97.5 %"
"IsOAD1",-1.28410144393212,1.72504013082296
"IsOAD1:AQI_CatModerate",-1.64007326395726,1.36736189107739
"IsOAD1:AQI_CatUnhealthy for Sensitive Groups",-1.58624720350594,1.42565855475817
"IsOAD1:Holiday1",-0.389764341608313,1.91727797945806
"TrafficTypePed:IsOAD1",-0.166257125525139,0.220893394914363
"TrafficTypePed",-0.277690295248358,0.0623306208528898
"AQI_CatModerate",-0.127395113320143,0.203205591948441
"AQI_CatUnhealthy for Sensitive Groups",-0.398100869504878,0.159046404491361
"TrafficTypePed:AQI_CatModerate",-0.209128067864421,0.125677792890064
"TrafficTypePed:AQI_CatUnhealthy for Sensitive Groups",-0.138916601158347,0.420902818397822
